### directory_name                              condor_id
control_notidal_largeMFM_1                  525  
control_notidal_largeMFM_2                  526  
control_notidal_largeMFM_3                  527  
control_notidal_largeMFM_4                  528  
control_notidal_largeMFM_5                  529  
control_notidal_midMFM_1                    530  
control_notidal_midMFM_2                    531  
control_notidal_midMFM_3                    532  
control_notidal_midMFM_4                    533  
control_notidal_midMFM_5                    534  
control_notidal_smallMFM_1                  535
control_notidal_smallMFM_2                  536
control_notidal_smallMFM_3                  537
control_notidal_smallMFM_4                  538
control_notidal_smallMFM_5                  539
control_onlymerging_1                       540
control_onlymerging_2                       541
control_onlymerging_3                       542
control_onlymerging_4                       543
control_onlymerging_5                       544
normal_largeMFM_1                           394
normal_largeMFM_2                           395
normal_largeMFM_3                           396
normal_largeMFM_4                           397
normal_largeMFM_5                           398
normal_midMFM_1                             400
normal_midMFM_2                             401
normal_midMFM_3                             402
normal_midMFM_4                             403
normal_midMFM_5                             399
#normal_smallMFM_1                           404
#normal_smallMFM_2                           405
#normal_smallMFM_3                           406
#normal_smallMFM_4                           407
#normal_smallMFM_5                           408
normal_smallMFM_1b                           494
normal_smallMFM_2b                           495
normal_smallMFM_3b                           496
normal_smallMFM_4b                           497
normal_smallMFM_5b                           498
variation_bodymass_down_largeMFM_1          409
variation_bodymass_down_largeMFM_2          410
variation_bodymass_down_largeMFM_3          411
variation_bodymass_down_largeMFM_4          412
variation_bodymass_down_largeMFM_5          413
variation_bodymass_down_midMFM_1            414
variation_bodymass_down_midMFM_2            415
variation_bodymass_down_midMFM_3            416
variation_bodymass_down_midMFM_4            417
variation_bodymass_down_midMFM_5            418
#variation_bodymass_down_smallMFM_1          419
#variation_bodymass_down_smallMFM_2          420
#variation_bodymass_down_smallMFM_3          421
#variation_bodymass_down_smallMFM_4          422
#variation_bodymass_down_smallMFM_5          423
variation_bodymass_down_smallMFM_1b          499
variation_bodymass_down_smallMFM_2b          500
variation_bodymass_down_smallMFM_3b          501
variation_bodymass_down_smallMFM_4b          502
variation_bodymass_down_smallMFM_5b          503
variation_bodymass_up_largeMFM_1            424
variation_bodymass_up_largeMFM_2            425
variation_bodymass_up_largeMFM_3            426
variation_bodymass_up_largeMFM_4            427
variation_bodymass_up_largeMFM_5            428
variation_bodymass_up_midMFM_1              429
variation_bodymass_up_midMFM_2              430
variation_bodymass_up_midMFM_3              431
variation_bodymass_up_midMFM_4              432
variation_bodymass_up_midMFM_5              433
#variation_bodymass_up_smallMFM_1            434
#variation_bodymass_up_smallMFM_2            435
#variation_bodymass_up_smallMFM_3            436
#variation_bodymass_up_smallMFM_4            437
#variation_bodymass_up_smallMFM_5            439
variation_bodymass_up_smallMFM_1b            504
variation_bodymass_up_smallMFM_2b            505
variation_bodymass_up_smallMFM_3b            506
variation_bodymass_up_smallMFM_4b            507
variation_bodymass_up_smallMFM_5b            508
variation_cusp_down_largeMFM_1              474
variation_cusp_down_largeMFM_2              475
variation_cusp_down_largeMFM_3              476
variation_cusp_down_midMFM_1                479
variation_cusp_down_midMFM_2                478
variation_cusp_down_midMFM_3                477
#variation_cusp_down_smallMFM_1              480
#variation_cusp_down_smallMFM_2              481
#variation_cusp_down_smallMFM_3              482
variation_cusp_down_smallMFM_1b              509
variation_cusp_down_smallMFM_2b              510
variation_cusp_down_smallMFM_3b              511
variation_cusp_up_largeMFM_1                483
variation_cusp_up_largeMFM_2                484
variation_cusp_up_largeMFM_3                485
variation_cusp_up_midMFM_1                  486
variation_cusp_up_midMFM_2                  487
variation_cusp_up_midMFM_3                  488
#variation_cusp_up_smallMFM_1                489
#variation_cusp_up_smallMFM_2                490
#variation_cusp_up_smallMFM_3                491
variation_cusp_up_smallMFM_1b                512
variation_cusp_up_smallMFM_2b                513
variation_cusp_up_smallMFM_3b                514
variation_numbody_down_largeMFM_1           440
variation_numbody_down_largeMFM_2           441
variation_numbody_down_largeMFM_3           442
variation_numbody_down_largeMFM_4           443
variation_numbody_down_largeMFM_5           444
variation_numbody_down_midMFM_1             445
variation_numbody_down_midMFM_2             446
variation_numbody_down_midMFM_3             447
variation_numbody_down_midMFM_4             448
variation_numbody_down_midMFM_5             449
#variation_numbody_down_smallMFM_1           450
#variation_numbody_down_smallMFM_2b          453
#variation_numbody_down_smallMFM_3           454                             
#variation_numbody_down_smallMFM_4           455    
#variation_numbody_down_smallMFM_5           456    
variation_numbody_down_smallMFM_1b           515
variation_numbody_down_smallMFM_2bb          516
variation_numbody_down_smallMFM_3b           517                             
variation_numbody_down_smallMFM_4b           518    
variation_numbody_down_smallMFM_5b           519 
variation_numbody_up_largeMFM_1             457
variation_numbody_up_largeMFM_2             458
variation_numbody_up_largeMFM_3             459
variation_numbody_up_largeMFM_4             460
variation_numbody_up_largeMFM_5             461
variation_numbody_up_midMFM_1               462
variation_numbody_up_midMFM_2               463
variation_numbody_up_midMFM_3b              467
variation_numbody_up_midMFM_4b              468
variation_numbody_up_midMFM_5               466
#variation_numbody_up_smallMFM_1             469
#variation_numbody_up_smallMFM_2             470
#variation_numbody_up_smallMFM_3             471
#variation_numbody_up_smallMFM_4             472
#variation_numbody_up_smallMFM_5             473
variation_numbody_up_smallMFM_1b             520
variation_numbody_up_smallMFM_2b             521
variation_numbody_up_smallMFM_3b             522
variation_numbody_up_smallMFM_4b             523
variation_numbody_up_smallMFM_5b             524
